country,sport_name,event,athlete_name,medal_type,medal_code
albania,Wrestling,Men's Freestyle 65kg,Islam DUDAEV,Bronze,3
albania,Wrestling,Men's Freestyle 74kg,Chermen VALIEV,Bronze,3
algeria,Artistic Gymnastics,Women's Uneven Bars,Kaylia NEMOUR,Gold,1
algeria,Athletics,Men's 800m,Djamel SEDJATI,Bronze,3
algeria,Boxing,Women's 66kg,Imane KHELIF,Gold,1
argentina,Cycling BMX Freestyle,Men's Park,Jose TORRES GIL,Gold,1
argentina,Hockey,Women,Argentina,Bronze,3
argentina,Sailing,Mixed Multihull,MAJDALANI/BOSCO,Silver,2
armenia,Artistic Gymnastics,Men's Vault,Artur DAVTYAN,Silver,2
armenia,Weightlifting,Men's +102kg,Varazdat LALAYAN,Silver,2
armenia,Wrestling,Men's Greco-Roman 97kg,Artur ALEKSANYAN,Silver,2
armenia,Wrestling,Men's Greco-Roman 77kg,Malkhas AMOYAN,Bronze,3
australia,Athletics,Women's Pole Vault,Nina KENNEDY,Gold,1
australia,Athletics,Women's 1500m,Jessica HULL,Silver,2
australia,Athletics,Women's High Jump,Nicola OLYSLAGERS,Silver,2
australia,Athletics,Men's Discus Throw,Matthew DENNY,Bronze,3
australia,Athletics,Women's High Jump,Eleanor PATTERSON,Bronze,3
australia,Athletics,Women's 20km Race Walk,Jemima MONTAG,Bronze,3
australia,Athletics,Marathon Race Walk Relay Mixed,COWLEY R/MONTAG J,Bronze,3
australia,Basketball,Women,Australia,Bronze,3
australia,Boxing,Men's 57kg,Charlie SENIOR,Bronze,3
australia,Boxing,Women's 75kg,Caitlin PARKER,Bronze,3
australia,Canoe Slalom,Women's Kayak Single,Jessica FOX,Gold,1
australia,Canoe Slalom,Women's Canoe Single,Jessica FOX,Gold,1
australia,Canoe Slalom,Women's Kayak Cross,Noemie FOX,Gold,1
australia,Canoe Sprint,Men's Kayak Four 500m,Australia,Silver,2
australia,Canoe Sprint,Men's Kayak Double 500m,van der WE/GREEN,Bronze,3
australia,Cycling BMX Freestyle,Women's Park,Natalya DIEHM,Bronze,3
australia,Cycling BMX Racing,Women,Saya SAKAKIBARA,Gold,1
australia,Cycling Road,Women's Individual Time Trial,Grace BROWN,Gold,1
australia,Cycling Track,Men's Team Pursuit,Australia,Gold,1
australia,Cycling Track,Men's Sprint,Matthew RICHARDSON,Silver,2
australia,Cycling Track,Men's Keirin,Matthew RICHARDSON,Silver,2
australia,Cycling Track,Men's Team Sprint,Australia,Bronze,3
australia,Cycling Track,Men's Keirin,Matthew GLAETZER,Bronze,3
australia,Diving,Women's 3m Springboard,Maddison KEENEY,Silver,2
australia,Equestrian,Eventing Individual,Christopher BURTON,Silver,2
australia,Marathon Swimming,Women's 10km,Moesha JOHNSON,Silver,2
australia,Rowing,Women's Pair,MORRISON/McINTYRE,Bronze,3
australia,Sailing,Men's Dinghy,Matt WEARN,Gold,1
australia,Sailing,Men's Windsurfing,Grae MORRIS,Silver,2
australia,Shooting,Trap Women,Penny SMITH,Bronze,3
australia,Skateboarding,Women's Park,Arisa TREW,Gold,1
australia,Skateboarding,Men's Park,Keegan PALMER,Gold,1
australia,Surfing,Men,Jack ROBINSON,Silver,2
australia,Swimming,Women's 200m Freestyle,Mollie O'CALLAGHAN,Gold,1
australia,Swimming,Women's 400m Freestyle,Ariarne TITMUS,Gold,1
australia,Swimming,Women's 100m Backstroke,Kaylee McKEOWN,Gold,1
australia,Swimming,Women's 200m Backstroke,Kaylee McKEOWN,Gold,1
australia,Swimming,Women's 4 x 100m Freestyle Relay,Australia,Gold,1
